ID,Country,Province,District,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Total,Serbs,Montenegrins,Croats,Bosniaks,Albanians,Bulgarians,Macedonians,Turks,Roma,Others,Unstated,Unknown,Hungarians,Slovaks,Aromanians,Muslims,Yugoslavs,Greeks,Romanians,Gorans,Egyptians,Ashkali,Italians,Russians,Ruthenians,Bunjevacis,Slovenians,Czechs,Ukrainians,Germans,Poles,Jews,Austrians,Vlachs,Armenian,English,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Nigerian,Sri Lankan,Indian,Pakistan,Bangladeshi,Chinese,Filippino,Vietnamese,Iran,Syrians,Turkmenistan,Azerbaijan,Maronite Arabs,Sunni Arabs,Shia Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs
BG081,Bulgaria,Montana,Bojčinovci,Bulgarians,Roma,Unknown,Unstated,Others,Turks,.,.,.,.,7712,0,0,0,0,0,5741,0,9,1433,30,149,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG082,Bulgaria,Montana,Brusarci,Bulgarians,Roma,Unknown,Unstated,Others,Turks,.,.,.,.,4096,0,0,0,0,0,3437,0,6,454,11,28,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG083,Bulgaria,Montana,Vălčedrăm,Bulgarians,Roma,Unknown,Unstated,Turks,Others,.,.,.,.,7698,0,0,0,0,0,5569,0,23,1440,21,179,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG084,Bulgaria,Montana,Văršec,Bulgarians,Roma,Unknown,Others,Unstated,Turks,.,.,.,.,6927,0,0,0,0,0,5199,0,7,1453,26,16,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG085,Bulgaria,Montana,Georgi Damjanovo,Bulgarians,Unknown,Roma,Others,Unstated,Turks,.,.,.,.,2018,0,0,0,0,0,1937,0,1,11,7,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG086,Bulgaria,Montana,Lom,Bulgarians,Roma,Unknown,Unstated,Others,Turks,.,.,.,.,21248,0,0,0,0,0,16943,0,30,2508,63,97,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG087,Bulgaria,Montana,Medkovec,Bulgarians,Roma,Unknown,Unstated,Turks,Others,.,.,.,.,3085,0,0,0,0,0,2345,0,4,556,2,5,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG088,Bulgaria,Montana,Montana,Bulgarians,Roma,Unknown,Unstated,Others,Turks,.,.,.,.,46271,0,0,0,0,0,40775,0,38,3152,146,428,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG089,Bulgaria,Montana,Čiprovci,Bulgarians,Unknown,Unstated,Roma,Others,Turks,.,.,.,.,2859,0,0,0,0,0,2740,0,2,14,10,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG090,Bulgaria,Montana,Jakimovo,Bulgarians,Roma,Unknown,Unstated,Turks,Others,.,.,.,.,3535,0,0,0,0,0,2709,0,10,603,7,32,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM01,North Macedonia,null,Aerodrom,Macedonians,Unknown,Serbs,Others,Albanians,Aromanians,Turks,Roma,Bosniaks,Unstated,81338,2236,0,0,452,1010,0,69278,519,495,1305,68,5302,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM02,North Macedonia,null,Aračinovo,Albanians,Unknown,Macedonians,Turks,Others,Bosniaks,Aromanians,Roma,Roma,.,14691,0,0,0,4,14329,0,24,7,1,6,1,317,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM03,North Macedonia,null,Berovo,Macedonians,Unknown,Roma,Albanians,Turks,Others,Serbs,Unstated,Bosniaks,Aromanians,11684,13,0,0,6,76,0,10543,69,404,56,7,509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
