ID,Old ID1,Old ID,Country,Province,District
IN0092,5935,5935,Andhra Pradesh,Chittoor,Kuppam
IN0093,5897,5897,Andhra Pradesh,Chittoor,Kurabalakota
IN0094,5900,5900,Andhra Pradesh,Chittoor,Madanapalle
IN0095,5875,5875,Andhra Pradesh,Chittoor,Mulakalacheruvu
IN0096,5911,5911,Andhra Pradesh,Chittoor,Nagalapuram
IN0097,5914,5914,Andhra Pradesh,Chittoor,Nagari
IN0098,5908,5908,Andhra Pradesh,Chittoor,Narayanavanam
IN0099,5901,5901,Andhra Pradesh,Chittoor,Nimmanapalle
IN0100,5912,5912,Andhra Pradesh,Chittoor,Nindra
IN0101,5904,5904,Andhra Pradesh,Chittoor,Pakala
IN0102,5930,5930,Andhra Pradesh,Chittoor,Palamaner
IN0103,5940,5940,Andhra Pradesh,Chittoor,Palasamudram
IN0104,5898,5898,Andhra Pradesh,Chittoor,Pedda Thippasamudram
IN0105,5877,5877,Andhra Pradesh,Chittoor,Peddamandyam
IN0106,5924,5924,Andhra Pradesh,Chittoor,Peddapanjani
IN0107,5917,5917,Andhra Pradesh,Chittoor,Penumuru
IN0108,5909,5909,Andhra Pradesh,Chittoor,Pichatur
IN0109,5894,5894,Andhra Pradesh,Chittoor,Pileru
IN0110,5903,5903,Andhra Pradesh,Chittoor,Pulicherla
IN0111,5923,5923,Andhra Pradesh,Chittoor,Punganur
IN0112,5918,5918,Andhra Pradesh,Chittoor,Puthalapattu
IN0113,5915,5915,Andhra Pradesh,Chittoor,Puttur
IN0114,5906,5906,Andhra Pradesh,Chittoor,Ramachandrapuram
IN0115,5936,5936,Andhra Pradesh,Chittoor,Ramakuppam
IN0116,5922,5922,Andhra Pradesh,Chittoor,Ramasamudram
IN0117,5884,5884,Andhra Pradesh,Chittoor,Renigunta
IN0118,5881,5881,Andhra Pradesh,Chittoor,Rompicherla
IN0119,5933,5933,Andhra Pradesh,Chittoor,Santhipuram
IN0120,5910,5910,Andhra Pradesh,Chittoor,Satyavedu
IN0121,5902,5902,Andhra Pradesh,Chittoor,Sodam
IN0122,5920,5920,Andhra Pradesh,Chittoor,Somala
IN0123,5886,5886,Andhra Pradesh,Chittoor,Srikalahasti
IN0124,5927,5927,Andhra Pradesh,Chittoor,Srirangarajapuram
IN0125,5876,5876,Andhra Pradesh,Chittoor,Thamballapalle
IN0126,5926,5926,Andhra Pradesh,Chittoor,Thavanampalle
IN0127,5887,5887,Andhra Pradesh,Chittoor,Thottambedu
IN0128,5883,5883,Andhra Pradesh,Chittoor,Tirupati (Rural)
IN0129,5891,5891,Andhra Pradesh,Chittoor,Tirupati (Urban)
IN0130,5907,5907,Andhra Pradesh,Chittoor,Vadamalapeta
IN0131,5896,5896,Andhra Pradesh,Chittoor,Valmikipuram
IN0132,5889,5889,Andhra Pradesh,Chittoor,Varadaiahpalem
IN0133,5905,5905,Andhra Pradesh,Chittoor,Vedurukuppam
IN0134,5932,5932,Andhra Pradesh,Chittoor,Venkatagirikota
IN0135,5913,5913,Andhra Pradesh,Chittoor,Vijayapuram
IN0136,5938,5938,Andhra Pradesh,Chittoor,Yadamarri
IN0137,5885,5885,Andhra Pradesh,Chittoor,Yerpedu
IN0138,5882,5882,Andhra Pradesh,Chittoor,Yerravaripalem
IN0139,5393,5393,Andhra Pradesh,East Godavari,Addateegala
IN0140,5439,5439,Andhra Pradesh,East Godavari,Ainavilli
IN0141,5431,5431,Andhra Pradesh,East Godavari,Alamuru
IN0142,5446,5446,Andhra Pradesh,East Godavari,Allavaram
IN0143,5447,5447,Andhra Pradesh,East Godavari,Amalapuram
IN0144,5441,5441,Andhra Pradesh,East Godavari,Ambajipeta
IN0145,5423,5423,Andhra Pradesh,East Godavari,Anaparthy
IN0146,5425,5425,Andhra Pradesh,East Godavari,Atreyapuram
IN0147,5386,5386,Andhra Pradesh,East Godavari,Bhadrachalam
IN0148,5422,5422,Andhra Pradesh,East Godavari,Biccavolu
IN0149,5388,5388,Andhra Pradesh,East Godavari,Chintur
IN0150,5391,5391,Andhra Pradesh,East Godavari,Devipatnam
IN0151,5410,5410,Andhra Pradesh,East Godavari,Gandepalle
IN0152,5400,5400,Andhra Pradesh,East Godavari,Gangavaram
IN0153,5403,5403,Andhra Pradesh,East Godavari,Gokavaram
IN0154,5408,5408,Andhra Pradesh,East Godavari,Gollaprolu
IN0155,5437,5437,Andhra Pradesh,East Godavari,Island Polavaram
IN0156,5404,5404,Andhra Pradesh,East Godavari,Jaggampeta
IN0157,5424,5424,Andhra Pradesh,East Godavari,Kadiam
IN0158,5429,5429,Andhra Pradesh,East Godavari,Kajuluru
IN0159,5419,5419,Andhra Pradesh,East Godavari,Kakinada (Rural)
IN0160,5420,5420,Andhra Pradesh,East Godavari,Kakinada (Urban)
IN0161,5434,5434,Andhra Pradesh,East Godavari,Kapileswarapuram
IN0162,5428,5428,Andhra Pradesh,East Godavari,Karapa
IN0163,5449,5449,Andhra Pradesh,East Godavari,Katrenikona
IN0164,5405,5405,Andhra Pradesh,East Godavari,Kirlampudi
IN0165,5411,5411,Andhra Pradesh,East Godavari,Korukonda
IN0166,5395,5395,Andhra Pradesh,East Godavari,Kotananduru
IN0167,5418,5418,Andhra Pradesh,East Godavari,Kothapalle
IN0168,5433,5433,Andhra Pradesh,East Godavari,Kothapeta
IN0169,5387,5387,Andhra Pradesh,East Godavari,Kunavaram
IN0170,5444,5444,Andhra Pradesh,East Godavari,Malikipuram
IN0171,5442,5442,Andhra Pradesh,East Godavari,Mamidikuduru
IN0172,5426,5426,Andhra Pradesh,East Godavari,Mandapeta
IN0173,5390,5390,Andhra Pradesh,East Godavari,Maredumilli
IN0174,5438,5438,Andhra Pradesh,East Godavari,Mummidivaram
IN0175,5435,5435,Andhra Pradesh,East Godavari,Pamarru
IN0176,5440,5440,Andhra Pradesh,East Godavari,Patha Gannavaram
IN0177,5421,5421,Andhra Pradesh,East Godavari,Pedapudi
IN0178,5409,5409,Andhra Pradesh,East Godavari,Peddapuram
IN0179,5417,5417,Andhra Pradesh,East Godavari,Pithapuram
IN0180,5406,5406,Andhra Pradesh,East Godavari,Prathipadu
IN0181,5413,5413,Andhra Pradesh,East Godavari,Rajahmundry (Rural)
IN0182,5412,5412,Andhra Pradesh,East Godavari,Rajahmundry (Urban)
IN0183,5414,5414,Andhra Pradesh,East Godavari,Rajanagaram
IN0184,5394,5394,Andhra Pradesh,East Godavari,Rajavommangi
IN0185,5430,5430,Andhra Pradesh,East Godavari,Ramachandrapuram
IN0186,5401,5401,Andhra Pradesh,East Godavari,Rampachodavaram
IN0187,5415,5415,Andhra Pradesh,East Godavari,Rangampeta
IN0188,5432,5432,Andhra Pradesh,East Godavari,Ravulapalem
IN0189,5427,5427,Andhra Pradesh,East Godavari,Rayavaram
IN0190,5443,5443,Andhra Pradesh,East Godavari,Razole
IN0191,5397,5397,Andhra Pradesh,East Godavari,Rowthulapudi
IN0192,5445,5445,Andhra Pradesh,East Godavari,Sakhinetipalle
IN0193,5416,5416,Andhra Pradesh,East Godavari,Samalkota
IN0194,5398,5398,Andhra Pradesh,East Godavari,Sankhavaram
IN0195,5402,5402,Andhra Pradesh,East Godavari,Seethanagaram
IN0196,5436,5436,Andhra Pradesh,East Godavari,Thallarevu
IN0197,5407,5407,Andhra Pradesh,East Godavari,Thondangi
IN0198,5396,5396,Andhra Pradesh,East Godavari,Tuni
IN0199,5448,5448,Andhra Pradesh,East Godavari,Uppalaguptam
IN0200,5389,5389,Andhra Pradesh,East Godavari,Vararamachandrapuram
IN0201,5392,5392,Andhra Pradesh,East Godavari,Yarlagadda Ramavaram
IN0202,5399,5399,Andhra Pradesh,East Godavari,Yeleswaram
IN0203,5560,5560,Andhra Pradesh,Guntur,Amaravathi
IN0204,5594,5594,Andhra Pradesh,Guntur,Amruthalur
IN0205,5558,5558,Andhra Pradesh,Guntur,Atchampet
IN0206,5601,5601,Andhra Pradesh,Guntur,Bapatla
IN0207,5557,5557,Andhra Pradesh,Guntur,Bellamkonda
IN0208,5597,5597,Andhra Pradesh,Guntur,Bhattiprolu
IN0209,5569,5569,Andhra Pradesh,Guntur,Bollapalle
IN0210,5587,5587,Andhra Pradesh,Guntur,Chebrolu
IN0211,5598,5598,Andhra Pradesh,Guntur,Cherukupalle H/O Arumbaka
IN0212,5578,5578,Andhra Pradesh,Guntur,Chilakaluripet H/O.Purushotha Patnam
IN0213,5553,5553,Andhra Pradesh,Guntur,Dachepalle
IN0214,5584,5584,Andhra Pradesh,Guntur,Duggirala
IN0215,5550,5550,Andhra Pradesh,Guntur,Durgi
IN0216,5579,5579,Andhra Pradesh,Guntur,Edlapadu
IN0217,5582,5582,Andhra Pradesh,Guntur,Guntur
IN0218,5552,5552,Andhra Pradesh,Guntur,Gurazala
IN0219,5573,5573,Andhra Pradesh,Guntur,Ipur
IN0220,5591,5591,Andhra Pradesh,Guntur,Kakumanu
IN0221,5554,5554,Andhra Pradesh,Guntur,Karempudi
IN0222,5600,5600,Andhra Pradesh,Guntur,Karlapalem
IN0223,5585,5585,Andhra Pradesh,Guntur,Kollipara
IN0224,5596,5596,Andhra Pradesh,Guntur,Kollur
IN0225,5559,5559,Andhra Pradesh,Guntur,Krosuru
IN0226,5556,5556,Andhra Pradesh,Guntur,Machavaram
IN0227,5548,5548,Andhra Pradesh,Guntur,Macherla
IN0228,5563,5563,Andhra Pradesh,Guntur,Mangalagiri
IN0229,5581,5581,Andhra Pradesh,Guntur,Medikonduru
IN0230,5576,5576,Andhra Pradesh,Guntur,Muppalla
IN0231,5577,5577,Andhra Pradesh,Guntur,Nadendla
IN0232,5603,5603,Andhra Pradesh,Guntur,Nagaram
IN0233,5575,5575,Andhra Pradesh,Guntur,Narasaraopet
IN0234,5568,5568,Andhra Pradesh,Guntur,Nekarikallu
IN0235,5602,5602,Andhra Pradesh,Guntur,Nizampatnam
IN0236,5571,5571,Andhra Pradesh,Guntur,Nuzendla
IN0237,5583,5583,Andhra Pradesh,Guntur,Pedakakani
IN0238,5565,5565,Andhra Pradesh,Guntur,Pedakurapadu
IN0239,5590,5590,Andhra Pradesh,Guntur,Pedanandipadu
IN0240,5580,5580,Andhra Pradesh,Guntur,Phirangipuram
IN0241,5555,5555,Andhra Pradesh,Guntur,Piduguralla
IN0242,5599,5599,Andhra Pradesh,Guntur,Pittalavanipalem
IN0243,5592,5592,Andhra Pradesh,Guntur,Ponnur
IN0244,5589,5589,Andhra Pradesh,Guntur,Prathipadu
IN0245,5567,5567,Andhra Pradesh,Guntur,Rajupalem
IN0246,5551,5551,Andhra Pradesh,Guntur,Rentachintala
IN0247,5604,5604,Andhra Pradesh,Guntur,Repalle
IN0248,5574,5574,Andhra Pradesh,Guntur,Rompicherla
IN0249,5566,5566,Andhra Pradesh,Guntur,Sattenapalle
IN0250,5572,5572,Andhra Pradesh,Guntur,Savalyapuram H/O Kanamarlapudi
