Country,Population Data Year,Population Data Source,Population Data Quality,Ethnic/ Linguistic/ Citizenship,Ethnic Data Year,Ethnic Data Source,Ethnic Data Quality,Religion Data Year,Religion Data Source,Religion Data Quality,Citizens,Foreigners,Refugees,Diaspora,Notes
Malawi,2018,A,,Ethnic,2018,A,,,,,,,,,
Mozambique,2017,A,,Linguistic,2017,A,,,,,,,,,
Zambia,2010,A,,Linguistic,2010,A,,,,,,,,,
Zimbabwe,2022,A,,Linguistic,2022,A,,,,,,,,,
Eswatini,2017,A,,Ethnic,2017,A,,,,,,,,,
Lesotho,2016,A,,Ethnic,2016,A,,,,,,,,,
South Africa,2022,A,,Linguistic,2022,A,,,,,,,,,
Botswana,2017,A,,Linguistic,2017,A,,,,,,,,,
Namibia,2011,A,,Linguistic,2011,A,,,,,,,,,
