ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,IsiXhosa,IsiZulu,Siswati,Ndebele,Ngoni,Yao,Sesotho,Setswana,Sepedi,Chichewa,Chibarwe,Mang’anja,Nsenga,Nyungwe,Sena,Elomwe,Bemba,Bisa,Lala,Lamba,Lenje,Ushi,Mambwe,Shona,Ndau,Kalanga,Nambya,Tshivenda,Lozi,Toka Leya,Chitonga,Gitonga,Senga,Tumbuka,Makonde,Makhuwa,Mwani,Herero,Kavango,Rukwangali,Rugciriku,Rushambyu,Mbukushu,Oshikolonk,Oshikwaluu,Oshikwambi,Oshikwanya,Oshimbadja,Oshimbalan,Oshindonga,Oshindongo,Oshingandj,Lunda,Luvale,Lungu,Ila,Kaonde,Lambya,Mbunda,Namwanga,Nkhonde,Ronga,Tswa,Tsonga,Caprivi,Chopi,Chwabo,Balke,Subiya,Sifwe,Swahili,Sukwa,Tewe,Zambezi,Totela,Sebirwa,Shekgalagari,Shiyeyi,Khoisan,Khoekhoe,San,Sesarwa,Afrikaans,English,German,Portuguese,Others,Other African Languages ,Other Asian Languages,Other European Languages,Not Stated,Unknown,Sena,Swahili,Tewe,Tswa,Yao,Mang’anja,Sukwa,Lambya,Nkhonde,Lomwe,religion,Largest Religion,Share of Population,Christianity
BW010,Botswana,Southern Botswana,Ngwaketse West,Shekgalagari,0.7445,Shekgalagari,Setswana,English,Ndebele,Others,.,.,.,.,.,8565,23663,0,0,0,0,62,0,0,0,5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17617,0,0,0,0,0,0,240,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
BW011,Botswana,Southeast Botswana,South East,Setswana,0.8781,Setswana,English,Kalanga,Shona,Ndebele,Shekgalagari,Others,Sebirwa,Sesarwa,Herero,1454,111447,0,0,0,0,824,0,0,0,97858,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,0,1556,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,789,0,0,0,0,341,0,7609,0,0,528,0,0,0,84,0,,,,,,,,,,,,,,
BW012,Botswana,Kweneng,Kweneng East,Setswana,0.8831,Setswana,English,Kalanga,Shona,Ndebele,Others,Shekgalagari,Sebirwa,Afrikaans,Not Stated,7332,330220,0,0,0,0,4914,0,0,0,291629,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7713,0,8133,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,2757,0,0,0,0,0,716,8134,0,0,3864,0,0,0,609,0,,,,,,,,,,,,,,
BW013,Botswana,Kweneng,Kweneng West,Setswana,0.5485,Setswana,Shekgalagari,Kalanga,English,Sesarwa,Shona,Sepedi,Not Stated,Others,.,29951,57763,0,0,0,0,0,0,0,0,31681,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25040,0,0,0,0,163,0,225,0,0,67,0,0,0,82,0,,,,,,,,,,,,,,
BW014,Botswana,Kgatleng,Kgatleng,Setswana,0.9324,Setswana,English,Shona,Ndebele,Others,Kalanga,Shekgalagari,Sepedi,Sebirwa,.,7502,121873,0,0,0,0,1295,0,0,0,113633,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,261,0,0,0,0,0,0,3311,0,0,1265,0,0,0,0,0,,,,,,,,,,,,,,
BW015,Botswana,Central Botswana,Serowe Palapye,Setswana,0.9057,Setswana,Sepedi,Sesarwa,English,Others,Ndebele,Shona,Kalanga,Shekgalagari,Sebirwa,34823,202741,0,0,0,0,759,0,0,0,183619,7031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,181,418,0,0,0,0,4881,0,3433,0,0,1022,0,0,0,0,0,,,,,,,,,,,,,,
BW016,Botswana,Central Botswana,Central Mahalapye,Setswana,0.7839,Setswana,Sepedi,English,Others,Sebirwa,Herero,Ndebele,Kalanga,Shona,.,18824,131975,0,0,0,0,219,0,0,0,103450,25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,71,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,1219,0,0,602,0,0,0,0,0,,,,,,,,,,,,,,
BW017,Botswana,Central Botswana,Central Bobonohg,Setswana,0.6743,Setswana,Sebirwa,Shona,Others,Kalanga,English,Ndebele,.,.,.,14938,77504,0,0,0,0,126,0,0,0,52261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23354,0,0,0,0,0,0,0,276,0,0,518,0,0,0,0,0,,,,,,,,,,,,,,
BW018,Botswana,Central Botswana,Central Boteti,Setswana,0.7099,Setswana,Sesarwa,Kalanga,Herero,Others,English,Sepedi,Shona,Not Stated,Sebirwa,33801,74553,0,0,0,0,0,0,0,0,52923,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,4830,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,77,0,0,0,13057,0,459,0,0,517,0,0,0,183,0,,,,,,,,,,,,,,
BW019,Botswana,Central Botswana,Central Tutume,Setswana,0.5891,Setswana,Kalanga,Others,Sesarwa,Shona,Ndebele,English,Subiya,Shekgalagari,Afrikaans,43058,164955,0,0,0,0,1528,0,0,0,97178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,58791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,83,0,0,0,0,1868,70,1348,0,0,2410,0,0,0,0,0,,,,,,,,,,,,,,
