Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Sunni Arabs,Salafi Arabs,Shia Arabs,Alawites,Ibadi Arabs,South Arabians,Druze,Orthodox Arabs,Catholic Arabs,Protestant Arabs,Maronites,Copts,Kurds,Zazas,Turks,North Caucasian,Circassians,Chechens,Georgians,Lazi,Armenians,Assyrians,Jews,Other Arabs,No religion classification,Others,Foreigners,Others Foreigners,Yazidis,Mandaeans,Ajams/ Iranians,Kyrgyz,Kazakhs,Dagestani,Azeris,Syrians,Afghans,Indians,Pakistanis,Bangladeshis,Sri Lankans,Nepalis,Fillipinos,Southeast Asians,East Asians,Africans,Europeans,Americas/ Pacific,Egypt,Tanzania,Sudan,Bosnians,Albanians,Pomaks,Roma,Greeks,Ossetians,Balochis,Zadjali,Zanzibaris,Al-Luwatiyyah,Kumzaris,Banyans,religion,Largest Religion,Share of Population,Islam
,IQ16,Iraq,Al-Muthanna,Al-Rumaitha,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,2361,370484,,0,0,370484,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ17,Iraq,Al-Muthanna,Al-Salman,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,46602,11960,,0,0,11960,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ18,Iraq,Al-Muthanna,Al-Samawa,Shia Arabs,0.980000425,Shia Arabs,Sunni Arabs,.,.,.,.,.,.,.,.,,1011,376608,,7532,0,369076,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ19,Iraq,Al-Najaf,Al-Kufa,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,519,397123,,0,0,397123,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ20,Iraq,Al-Najaf,Al-Manathera,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,606,295372,,0,0,295372,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ21,Iraq,Al-Najaf,Al-Najaf,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,39175,897466,,0,0,897466,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ22,Iraq,Al-Qadissiya,Afaq,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,3878,194982,,0,0,194982,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ23,Iraq,Al-Qadissiya,Al-Diwaniya,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,1269,650869,,0,0,650869,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ24,Iraq,Al-Qadissiya,Al-Hamza,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,2382,253824,,0,0,253824,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ25,Iraq,Al-Qadissiya,Al-Shamiya,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,949,295210,,0,0,295210,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
