Country,Population Data Year,Population Data Source,Population Data Quality,Ethnic/ Linguistic/ Citizenship,Ethnic Data Year,Ethnic Data Source,Ethnic Data Quality,Religion Data Year,Religion Data Source,Religion Data Quality,Citizens,Foreigners,Refugees,Diaspora,Notes
China (Inner Mongolia),2020,A,,Ethnic,2020,A,,,,,Y,,,,
China (Majority),2020,A,,Ethnic,2000/2018/2020,A,,,,,Y,,,,
Japan,2024,A,,Ethnic,2024,A,,,,,Y,,,,
Mongolia,2020,A,,Ethnic,2020,A,,,,,Y,,,,
North Korea,2008,A,,Ethnic,2008,A,,,,,Y,,,,
South Korea,2015,A,,Ethnic,2015,A,,,,,Y,,,,
Taiwan,2010,A,,Linguistic,2010,A,,,,,Y,,,,
Hong Kong,2021,A,,Ethnic,2021,A,,,,,Y,,,,
Macao,2011,A,,Ethnic,2011,A,,,,,Y,,,,
