Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Han Chinese,Hui,Tibetans,Koreans,Manchu,Japanese,Ainu,Mongols,Oirats,Buryats,Tuvans,Uyghurs,Kazakhs,Kyrgyz,Uzbeks,Tatars,Pamiris,Hmong,Yi,Zhuang,Bouyei,Dong,Yao,Bai,Tujia,Hani,Dai,Li,Lisu,Wa,She,Lahu,Sui,Dongxiang,Nakhi,Kachin,Tu,Daur,Mulao,Qiang,Blang,Salar,Maonan,Gelao,Sibe,Achang,Pumi,Nu,Russian,Evenk,De'ang,Bonan,Yugur,Vietnamese,Derung,Oroqen,Nanai,Monpa,Lhoba,Jino,Formosans,Portugese,Others,Naturalized Citizen,China,Taiwan,Japan,Vietnam,Cambodia,Philippines,Indonesia,Nepal,Uzbekistan,America,Thailand,Brazil,Sri Lanka,India,Peru,Bangladesh,Pakistan,Myanmar,Korea,Mongolia,United Kingdom,France,Russia,Malaysia,Canada,Australia,Germany,Turkey,Korea,Bolivia,Afghanistan,Italy,White,Other Asians,Other Europeans,Other West Asians/North Africans,Other Africans,Other Americas,Other Pacific Islanders,Stateless,Other Foreigners,religion,Largest Religion,Share of Population,Irreligious
,CH0010,Beijing,1101,Shunyi District,Han Chinese,0.9639,Han Chinese,Manchu,Hui,Mongols,Tujia,Zhuang,Koreans,Hmong,Bai,Yi,1009,1324044,,1276236,5837,117,1073,29290,0,0,4629,0,0,0,106,0,0,0,0,7,650,372,2326,95,74,206,401,2334,0,0,0,0,46,0,0,0,0,0,0,17,81,0,34,0,0,0,35,29,0,0,0,4,16,0,0,12,0,0,0,0,0,0,0,0,,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0011,Beijing,1101,Changping District,Han Chinese,0.9621,Han Chinese,Manchu,Hui,Mongols,Koreans,Tujia,Zhuang,Hmong,Yi,Uyghurs,1341,2269487,,2183565,24294,438,4053,30694,0,0,13410,0,0,0,845,331,13,0,0,0,1440,1323,2009,637,627,601,302,2259,96,73,288,0,41,134,223,96,83,26,15,40,419,28,60,35,0,20,266,237,0,27,0,49,209,0,0,0,12,0,17,43,0,0,0,16,,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0012,Beijing,1101,Daxing District,Han Chinese,0.9607,Han Chinese,Hui,Manchu,Mongols,Tujia,Koreans,Hmong,Zhuang,Yi,Dong,1039,1993591,,1915323,34606,366,1838,27423,0,0,7004,0,0,0,164,24,42,0,0,5,1256,505,526,338,446,206,129,2185,31,40,85,92,0,61,0,0,0,55,0,54,190,67,60,0,10,16,63,216,0,0,0,23,54,0,0,23,10,0,14,0,0,0,0,3,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0013,Beijing,1101,Huairou District,Han Chinese,0.8965,Han Chinese,Manchu,Mongols,Tujia,Zhuang,Hmong,Hui,Koreans,Yao,Yi,2121,441040,,395379,292,18,185,38169,0,0,2332,0,0,0,58,0,0,0,0,0,1031,121,1141,55,41,137,20,1725,23,34,64,0,16,10,0,14,0,3,0,3,40,29,0,0,0,8,6,41,0,16,0,0,4,0,0,0,0,0,17,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0014,Beijing,1101,Pinggu District,Han Chinese,0.9886,Han Chinese,Manchu,Zhuang,Mongols,Yi,Tujia,Hmong,Yao,Hui,Dong,948,457313,,452122,76,23,47,1853,0,0,1063,0,0,0,9,0,0,0,0,0,158,230,1200,44,67,134,8,199,0,8,15,0,13,0,0,0,0,11,0,10,0,0,0,0,0,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0015,Beijing,1101,Miyun District,Han Chinese,0.9309,Han Chinese,Manchu,Hui,Mongols,Zhuang,Yi,Tujia,Hmong,Koreans,Lisu,2227,527683,,491241,3764,55,127,29132,0,0,1903,0,0,0,68,0,0,0,0,6,206,223,414,13,35,24,6,212,0,8,3,77,56,0,0,0,0,0,0,10,41,31,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0016,Beijing,1101,Yanqing District,Han Chinese,0.9537,Han Chinese,Manchu,Mongols,Hui,Tujia,Koreans,Yi,Zhuang,Hmong,Uyghurs,1995,345671,,329674,352,10,82,14467,0,0,624,0,0,0,33,0,0,0,0,2,50,62,59,10,9,14,6,173,13,0,10,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0017,Tianjin,1201,Heping District,Han Chinese,0.9617,Han Chinese,Hui,Manchu,Mongols,Uyghurs,Hmong,Yi,Koreans,Zhuang,Salar,10,355000,,341414,5592,117,271,3730,0,0,1570,0,0,0,398,0,0,22,0,1,327,284,250,116,40,44,25,96,90,73,16,0,24,15,0,0,19,12,48,2,85,0,33,0,195,0,27,38,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,7,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0018,Tianjin,1201,Hedong District,Han Chinese,0.9723,Han Chinese,Hui,Manchu,Mongols,Yi,Koreans,Uyghurs,Zhuang,Hmong,Dong,40,858787,,834981,9048,137,665,6311,0,0,3504,0,0,0,505,89,0,5,0,3,381,818,387,151,289,58,111,157,0,76,168,77,0,81,0,14,0,13,0,17,143,26,105,0,0,0,0,105,0,0,0,37,16,0,0,0,0,0,5,15,0,0,0,3,,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0019,Tianjin,1201,Hexi District,Han Chinese,0.9682,Han Chinese,Hui,Manchu,Mongols,Koreans,Zhuang,Uyghurs,Yi,Hmong,Bouyei,38,822174,,796054,8926,75,1498,7600,0,0,2852,0,0,0,521,79,18,0,0,4,378,477,677,334,151,158,166,264,83,45,118,34,45,107,0,158,0,56,88,67,164,40,46,49,270,4,186,125,0,0,24,17,14,0,0,0,0,2,9,0,0,5,2,2,,169,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0020,Tianjin,1201,Nankai District,Han Chinese,0.9622,Han Chinese,Hui,Manchu,Mongols,Koreans,Uyghurs,Hmong,Zhuang,Yi,Tujia,38,917106,,882476,14042,358,1124,8409,0,0,4231,0,0,0,1015,372,9,0,0,4,681,591,643,176,258,186,282,462,292,114,135,34,45,72,0,12,0,22,89,24,249,29,31,0,0,11,38,96,0,0,0,10,37,0,0,0,0,0,9,0,0,0,0,3,,426,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0021,Tianjin,1201,Hebei District,Han Chinese,0.9653,Han Chinese,Hui,Manchu,Mongols,Tibetans,Others,Yi,Uyghurs,Zhuang,Koreans,30,647702,,625252,9961,2183,297,4706,0,0,2525,0,0,0,325,0,0,4,0,3,270,373,316,175,71,94,29,194,80,0,29,0,76,35,0,35,0,16,0,11,89,6,45,0,17,0,12,47,0,0,0,2,3,0,0,0,0,1,0,6,0,0,0,1,,409,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0022,Tianjin,1201,Hongqiao District,Han Chinese,0.9325,Han Chinese,Hui,Manchu,Mongols,Uyghurs,Yi,Kazakhs,Hmong,Zhuang,Koreans,21,483130,,450510,26374,90,134,2936,0,0,1285,0,0,0,670,187,24,0,0,5,184,191,163,77,28,14,60,104,0,0,26,0,20,0,0,0,0,0,0,5,28,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0023,Tianjin,1201,Dongli District,Han Chinese,0.9689,Han Chinese,Hui,Manchu,Koreans,Mongols,Tujia,Hmong,Yi,Uyghurs,Zhuang,475,936322,,907209,10788,211,4758,5335,0,0,2593,0,0,0,417,0,55,0,0,0,786,573,376,161,126,21,365,1313,0,0,89,137,0,86,113,24,0,22,0,67,70,23,62,0,0,7,100,78,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0024,Tianjin,1201,Xiqing District,Han Chinese,0.9815,Han Chinese,Manchu,Hui,Mongols,Tujia,Hmong,Koreans,Uyghurs,Bouyei,Yi,572,1180770,,1158871,4245,195,968,5620,0,0,3022,0,0,0,891,68,0,0,0,0,1220,674,596,758,188,118,97,1409,0,116,153,0,115,37,578,0,45,0,0,38,81,29,0,0,46,0,256,45,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,3,,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
