Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,oneReligion,twoReligion,threeReligion,fourReligion,fiveReligion,sixReligion,sevenReligion,eightReligion,nineReligion,tenReligion,Density,Area,Population,ethnicity,Serbs,Montenegrins,Croats,Bosniaks,Bulgarians,Macedonians,Albanians,Arvanites,Greeks,Turks,Tatars,Gagauzians,Romanians,Moldovans,Aromanians,Hungarians,Jews,Roma,Gorans,Egyptians,Ashkali,Muslims,Bosnians,Yugoslavs,Others,Unstated,Unknown,Slovenians,Czechs,Slovaks,Russians,Ukrainians,Belorussians,Ruthenians,Bunjevacis,Poles,Germans,Italians,Georgians,Armenians,Arabs,Maronite Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs,Sunni Arabs,Shia Arabs,Austrians,British,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Americans,Nigerians,Sri Lankans,Indians,Pakistanis,Bangladeshis,Chinese,Vietnamese,Filippino,Syrians,Iranians,Afghans,Turkmenistanis,Azerbaijanis,Other Europeans,Other Asians,Other Africans,Other North Americans,Latin Americans,Oceania countries,No country declared,Stateless or Unspecified Nationality,religion,Largest Religion,Share of Population,Orthodoxy,Catholicism,Protestantism,Other Christians,Islam,Judaism,Other religions,Atheism,Not stated,Not known
2019,BH098,Bosnia & Herzegovina,Sarajevo-Romanija,Istočni Stari Grad,Serbs,0.946949602,Serbs,Bosniaks,Croats,Bosnians,Others,Others,Unknown,Unknown,.,.,Orthodoxy,Islam,Catholicism,Catholicism,Atheism,Atheism,Other Christians,.,.,.,6.69,169,1131,,1071,,7,43,,,,,,,,,,,,,,,,,,-,4,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.946065429,1070,6,,1,44,,,2,6,2
2019,BH095,Bosnia & Herzegovina,Sarajevo-Romanija,Istočna Ilidža,Serbs,0.931721195,Serbs,Bosniaks,Croats,Unstated,Bosnians,Others,Montenegrins,Montenegrins,Muslims,Muslims,Orthodoxy,Islam,Catholicism,Not stated,Atheism,Other religions,Not known,Other Christians,Protestantism,.,263.63,56,14763,,13755,10,156,648,,5,1,,,,,,,,,,,,,,,9,34,9,21,96,10,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.931856669,13757,150,3,4,655,,12,78,94,10
2019,BH133,Bosnia & Herzegovina,Sarajevo-Romanija,Trnovo (RS),Serbs,0.574634146,Serbs,Bosniaks,Croats,Unstated,Montenegrins,Muslims,Muslims,Yugoslavs,Yugoslavs,Yugoslavs,Orthodoxy,Islam,Catholicism,Atheism,Not stated,Other religions,Other religions,.,.,.,9.76,210,2050,,1178,3,15,837,,,,,,,,,,,,,,,,,,2,2,1,1,9,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.576585366,1182,15,,,837,,1,10,4,1
2019,BH136,Bosnia & Herzegovina,Sarajevo-Romanija,Han Pijesak,Serbs,0.869121813,Serbs,Bosniaks,Others,Croats,Muslims,Unstated,Yugoslavs,Montenegrins,Montenegrins,Montenegrins,Orthodoxy,Islam,Catholicism,Atheism,Other religions,.,.,.,.,.,5.78,611,3530,,3068,1,7,431,,,,,,,,,,,,,,1,,,,6,1,2,9,3,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.870254958,3072,5,,,450,,1,2,,
2019,BH119,Bosnia & Herzegovina,Sarajevo-Romanija,Pale (RS),Serbs,0.978095557,Serbs,Bosniaks,Croats,Unstated,Others,Montenegrins,Yugoslavs,Yugoslavs,Slovenians,Macedonians,Orthodoxy,Islam,Catholicism,Atheism,Not stated,Not known,Other Christians,Other religions,.,.,22.1,946,20909,,20451,20,128,186,,4,1,,,,,,,,,,,,,,,2,2,14,25,55,14,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.976565116,20419,121,,10,214,,8,65,60,12
2019,BH126,Bosnia & Herzegovina,Sarajevo-Romanija,Rogatica,Serbs,0.888464049,Serbs,Bosniaks,Croats,Muslims,Unstated,Others,Bosnians,Bosnians,Montenegrins,Albanians,Orthodoxy,Islam,Atheism,Catholicism,Not stated,Other religions,Not known,Other Christians,.,.,8.65,1240,10723,,9527,4,19,1117,,1,3,,,,,,,,,,,,,,,18,5,3,8,12,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.886505642,9506,18,,2,1153,,6,25,8,5
2019,BH128,Bosnia & Herzegovina,Sarajevo-Romanija,Sokolac,Serbs,0.935862241,Serbs,Bosniaks,Croats,Unknown,Unstated,Others,Muslims,Montenegrins,Bosnians,Bosnians,Orthodoxy,Islam,Catholicism,Not stated,Atheism,Not known,Other religions,.,.,.,8.99,1337,12021,,11250,6,29,671,,1,,,,,,,,,,,,,,,,7,5,5,11,14,19,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.936111804,11253,24,,,687,,5,17,20,15
2019,BH023,Bosnia & Herzegovina,West Herzegovina,Široki Brijeg,Croats,0.99602475,Croats,Serbs,Unknown,Albanians,Others,Unstated,Bosniaks,Ukrainians,.,.,Catholicism,Orthodoxy,Not known,Atheism,Not stated,Islam,Other Christians,Protestantism,Protestantism,.,39.31,736,28929,,45,,28814,6,,,12,,,,,,,,,,,,,,,-,,,10,8,33,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.996093885,48,28816,1,3,6,,1,9,8,37
2019,BH062,Bosnia & Herzegovina,Bosnian-Podrinje,Foča (FBIH),Bosniaks,0.911536472,Bosniaks,Serbs,Muslims,Bosnians,Others,Others,Montenegrins,Montenegrins,Montenegrins,.,Islam,Orthodoxy,Not stated,Catholicism,Catholicism,.,.,.,.,.,6.2,312,1933,,145,1,,1762,,,,,,,,,,,,,,1,,,,10,7,,3,3,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.924469736,137,2,,,1787,,,2,5,
2019,BH074,Bosnia & Herzegovina,Bosnian-Podrinje,Pale (FBIH),Bosniaks,0.950221239,Bosniaks,Serbs,Bosnians,Croats,Croats,Croats,Croats,.,.,.,Islam,Orthodoxy,Catholicism,Catholicism,.,.,.,.,.,.,5.38,168,904,,33,,1,859,,,,,,,,,,,,,,,,,,1,8,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.961283186,33,1,,,869,,,1,,
