ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Bambara,Mandinka,Maninka,Konyanka Maninka,Mandjak,Marka,North Mande,South Mande,Jahanka,Jalunga,Fulah,Wolof,Lebu Wolof,Akan,Guan,Ga-Dangme,Ewe,Kabyé,Ouatchi,Kotokoli,Mina,Fon,Adja,Mole-Dagbani,Dagara,Nankana,Kasséna,Gurma,Gur,Kusaal,Senoufo,Minianka,Bobo,Bwamu,Koromfé,Bozo,Soninke,Songhay,Djerma,Kru,Grebo,Bassa,Belle,Krahn,Sapo,Dogon,Dogosé,Grusi,Tamasheq,Kissi,Temne,Limba,Loko,Mende,Gola,Gbandi,Loma,Susu,Yalunka,Koranko,Kuranko,Bijagos,Balanta-Ganja,Balanta-Mane,Jola-Fony,Mankanya,Papel,Mancanha,Serer,Soce,Bissa,Birifor,Lobi,Otamari,Kaansa,Karaboro,Hassaniya Arabic,Arabic,Hausa,Casamance Creole,Badyara,Baga,Bainouk,Bankagooma,Bariba,Bassari,Beafada,Biali,Dey,Dyan,Go,Gouin,Krim,Ko,Kono,Koussassé,Kpelle,Mano,Landoma,Lele,Mansoanca,Manya,Ménik,Mixifore,Moba,Mooré,Nalu,Ninkare,Nuna,Oniyan,Samo,Sem,Sherbro,Toussian,Turka,Wamey,Xasonga,Yoa-Lokpa,Losso ,Yoruba,French,English,Krio,Foreigners,Unknown,Others
GN002,Guinea,Boke,Boke,Fulah,0.383,Fulah,Susu,Jahanka,Landoma,Mixifore,Baga,Maninka,Others,Nalu,Kissi,10921,451810,0,0,0,14006,0,0,0,0,0,41115,0,173043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,1355,122892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,40663,0,0,0,0,23042,0,0,4970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11297
GN003,Guinea,Boke,Fria,Susu,0.545,Susu,Fulah,Others,Maninka,Yalunka,.,.,.,.,.,1579,95790,0,0,0,2586,0,0,0,0,0,0,0,37262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52206,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778
GN004,Guinea,Boke,Gaoual,Fulah,0.859,Fulah,Jahanka,Others,Yalunka,Susu,Maninka,.,.,.,.,11152,191850,0,0,0,959,0,0,0,0,0,18034,0,164799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5180
GN005,Guinea,Boke,Koundara,Fulah,0.705,Fulah,Wamey,Badyara,Bassari,Soninke,Maninka,Jahanka,Others,Susu,.,5338,129010,0,0,0,2838,0,0,0,0,0,2709,0,90952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773,0,0,0,0,6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8902,0,0,0,0,0,0,0,0,0,2452
GN006,Guinea,Conakry,Conakry,Susu,0.37,Susu,Fulah,Maninka,Kissi,Konyanka Maninka,Jahanka,Jahanka,Others,Loma,Yalunka,436,1654120,0,0,0,314283,24812,0,0,0,0,21504,0,554130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,0,0,0,0,28120,0,0,0,0,0,0,11579,612024,8271,0,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8271,0,0,0,0,0,0,0,0,0,0,0,0,4962,0,21504,3308,4962,1654,0,1654,0,3308,0,0,0,0,0,0,0,0,0,0,0,6616,0,0,0,0,0,0,0,0,0,18196
GN007,Guinea,Faranah,Dabola,Maninka,0.611,Maninka,Fulah,Others,Yalunka,.,.,.,.,.,.,5177,182910,0,0,0,111758,0,0,0,0,0,0,0,67311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744
GN008,Guinea,Faranah,Dinguiraye,Fulah,0.688,Fulah,Maninka,Yalunka,Yalunka,Kissi,.,.,.,.,.,11457,193900,0,0,0,55649,0,0,0,0,0,0,0,133403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939
GN009,Guinea,Faranah,Faranah,Maninka,0.404,Maninka,Yalunka,Kuranko,Fulah,Kissi,Others,Susu,Kpelle,.,.,12873,279430,0,0,0,112890,0,0,0,0,0,0,0,44150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15369,0,0,0,0,0,0,0,1677,57842,0,44709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955
GN010,Guinea,Faranah,Kissidougou,Kissi,0.376,Kissi,Kuranko,Maninka,Lele,Fulah,Others,Loma,Susu,Konyanka Maninka,Konyanka Maninka,6187,283100,0,0,0,58885,1132,0,0,0,0,0,0,18968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106446,0,0,0,0,0,0,1699,1416,0,0,71058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264
GN011,Guinea,Kankan,Kankan,Maninka,0.879,Maninka,Kuranko,Fulah,Kissi,Others,Konyanka Maninka,Kpelle,Loma,Loma,.,17315,469730,0,0,0,412893,2349,0,0,0,0,0,0,15971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,939,939,0,0,28184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818
